Schuljahr,Stufe,Schulgemeinde,Geschlecht,Nationalitaet,Anzahl
2007/2008,Primar Mittelstufe,Berlingen PG,männlich,Schweiz,9
2007/2008,Primar Mittelstufe,Berlingen PG,weiblich,Ausland,2
2007/2008,Primar Mittelstufe,Berlingen PG,weiblich,Schweiz,5
2007/2008,Primar Mittelstufe,Bettwiesen PSG,männlich,Ausland,7
2007/2008,Primar Mittelstufe,Bettwiesen PSG,männlich,Schweiz,20
2007/2008,Primar Mittelstufe,Bettwiesen PSG,weiblich,Ausland,7
2007/2008,Primar Mittelstufe,Bettwiesen PSG,weiblich,Schweiz,14
2007/2008,Primar Mittelstufe,Bichelsee-Balterswil VSG,männlich,Ausland,3
2007/2008,Primar Mittelstufe,Bichelsee-Balterswil VSG,männlich,Schweiz,43
2007/2008,Primar Mittelstufe,Bichelsee-Balterswil VSG,weiblich,Ausland,1
2007/2008,Primar Mittelstufe,Bichelsee-Balterswil VSG,weiblich,Schweiz,48
2007/2008,Primar Mittelstufe,Bischofszell VSG,männlich,Ausland,35
2007/2008,Primar Mittelstufe,Bischofszell VSG,männlich,Schweiz,181
2007/2008,Primar Mittelstufe,Bischofszell VSG,weiblich,Ausland,32
2007/2008,Primar Mittelstufe,Bischofszell VSG,weiblich,Schweiz,157
2007/2008,Primar Mittelstufe,Bottighofen PSG,männlich,Ausland,4
2007/2008,Primar Mittelstufe,Bottighofen PSG,männlich,Schweiz,20
2007/2008,Primar Mittelstufe,Bottighofen PSG,weiblich,Ausland,8
2007/2008,Primar Mittelstufe,Bottighofen PSG,weiblich,Schweiz,19
2007/2008,Primar Mittelstufe,Braunau PSG,männlich,Schweiz,12
2007/2008,Primar Mittelstufe,Braunau PSG,weiblich,Schweiz,16
2007/2008,Primar Mittelstufe,Buch bei Frauenfeld PSG,männlich,Schweiz,8
2007/2008,Primar Mittelstufe,Buch bei Frauenfeld PSG,weiblich,Schweiz,12
2007/2008,Primar Mittelstufe,Bürglen VSG,männlich,Ausland,20
2007/2008,Primar Mittelstufe,Bürglen VSG,männlich,Schweiz,46
2007/2008,Primar Mittelstufe,Bürglen VSG,weiblich,Ausland,15
2007/2008,Primar Mittelstufe,Bürglen VSG,weiblich,Schweiz,55
2007/2008,Primar Mittelstufe,Bussnang-Rothenhausen PSG,männlich,Ausland,2
2007/2008,Primar Mittelstufe,Bussnang-Rothenhausen PSG,männlich,Schweiz,18
2007/2008,Primar Mittelstufe,Bussnang-Rothenhausen PSG,weiblich,Schweiz,17
2007/2008,Primar Mittelstufe,Dettighofen-Lanzenneunforn PSG,männlich,Ausland,2
2007/2008,Primar Mittelstufe,Dettighofen-Lanzenneunforn PSG,männlich,Schweiz,13
2007/2008,Primar Mittelstufe,Dettighofen-Lanzenneunforn PSG,weiblich,Ausland,3
2007/2008,Primar Mittelstufe,Dettighofen-Lanzenneunforn PSG,weiblich,Schweiz,21
2007/2008,Primar Mittelstufe,Diessenhofen VSG,männlich,Ausland,34
2007/2008,Primar Mittelstufe,Diessenhofen VSG,männlich,Schweiz,110
2007/2008,Primar Mittelstufe,Diessenhofen VSG,weiblich,Ausland,29
2007/2008,Primar Mittelstufe,Diessenhofen VSG,weiblich,Schweiz,78
2007/2008,Primar Mittelstufe,Dozwil PSG,männlich,Ausland,1
2007/2008,Primar Mittelstufe,Dozwil PSG,männlich,Schweiz,15
2007/2008,Primar Mittelstufe,Dozwil PSG,weiblich,Ausland,1
2007/2008,Primar Mittelstufe,Dozwil PSG,weiblich,Schweiz,13
2007/2008,Primar Mittelstufe,Egnach VSG,männlich,Ausland,11
2007/2008,Primar Mittelstufe,Egnach VSG,männlich,Schweiz,72
2007/2008,Primar Mittelstufe,Egnach VSG,weiblich,Ausland,6
2007/2008,Primar Mittelstufe,Egnach VSG,weiblich,Schweiz,67
2007/2008,Primar Mittelstufe,Erlen VSG,männlich,Ausland,9
2007/2008,Primar Mittelstufe,Erlen VSG,männlich,Schweiz,50
2007/2008,Primar Mittelstufe,Erlen VSG,weiblich,Ausland,16
2007/2008,Primar Mittelstufe,Erlen VSG,weiblich,Schweiz,62
2007/2008,Primar Mittelstufe,Ermatingen PSG,männlich,Ausland,8
2007/2008,Primar Mittelstufe,Ermatingen PSG,männlich,Schweiz,38
